"RoleName","Operation","Allowed"
"Contributor","Microsoft.ApiManagement/service/namedValues/delete","True"
"Contributor","Microsoft.ApiManagement/service/namedValues/listValue/action","True"
"Contributor","Microsoft.ApiManagement/service/namedValues/refreshSecret/action","True"
"Contributor","Microsoft.ApiManagement/deletedservices/read","True"
"Contributor","Microsoft.ApiManagement/service/settings/read","True"
"Contributor","Microsoft.ApiManagement/service/privateLinkResources/read","True"
"Contributor","Microsoft.ApiManagement/service/gateways/certificateAuthorities/read","True"
"Contributor","Microsoft.ApiManagement/service/gateways/certificateAuthorities/write","True"
"Contributor","Microsoft.ApiManagement/service/gateways/certificateAuthorities/delete","True"
"Contributor","Microsoft.ApiManagement/service/portalRevisions/read","True"
"Contributor","Microsoft.ApiManagement/service/portalRevisions/write","True"
"Contributor","Microsoft.ApiManagement/locations/deletedservices/read","True"
"Contributor","Microsoft.ApiManagement/locations/deletedservices/delete","True"
